half_life,carry,horizon,model,margin_rmse,total_rmse,n,score
8,0.6,final,B_qb_inj,13.342872195020709,13.482559389029323,821,13.412715792025015
8,0.6,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
8,0.6,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
8,0.8,final,B_qb_inj,13.337326707383921,13.491940453085203,821,13.414633580234561
8,0.8,early,B_qb,13.460834036317191,13.683739027149418,821,13.572286531733305
8,0.8,final,B_qb,13.363504969221342,13.526558956288028,821,13.445031962754685
8,0.8,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
8,0.8,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
12,0.4,final,B_qb,13.333155388408404,13.499465875940757,821,13.41631063217458
12,0.4,early,B_qb,13.454621844722167,13.664592917769333,821,13.559607381245751
12,0.4,final,B_qb_inj,13.334086298908016,13.477626935645853,821,13.405856617276935
12,0.4,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
12,0.4,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
12,0.6,final,B_qb_inj,13.323118360283026,13.489445860672895,821,13.40628211047796
12,0.6,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
12,0.6,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
12,0.6,early,B_qb,13.448690679997597,13.68580464987484,821,13.567247664936218
12,0.6,final,B_qb,13.349874674751078,13.526700718887447,821,13.438287696819263
12,0.8,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
12,0.8,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
12,0.8,final,B_qb_inj,13.332848919162913,13.508661406169404,821,13.420755162666158
12,0.8,early,B_qb,13.462354582567018,13.71349851990801,821,13.587926551237514
12,0.8,final,B_qb,13.359441254407434,13.547509520717048,821,13.453475387562241
16,0.4,final,B_qb,13.323236100582813,13.501612708891399,821,13.412424404737106
16,0.4,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
16,0.4,early,B_qb,13.44657457267659,13.671365216368182,821,13.558969894522386
16,0.4,final,B_qb_inj,13.323113696948182,13.479143818207122,821,13.401128757577652
16,0.4,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
16,0.6,early,B_qb,13.452123306560893,13.701547285042306,821,13.5768352958016
16,0.6,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
16,0.6,final,B_qb_inj,13.323060296506704,13.498099900002321,821,13.410580098254513
16,0.6,final,B_qb,13.350036062540823,13.537762849137275,821,13.443899455839048
16,0.6,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
16,0.8,final,B_qb,13.378204289948743,13.54856178450577,821,13.463383037227256
16,0.8,final,A_market_raw,13.116815643240459,13.2621144031005,821,13.189465023170479
16,0.8,early,B_qb,13.475867429883051,13.715312475519031,821,13.59558995270104
16,0.8,final,A_market_cal,13.12964332851071,13.273076877490615,821,13.201360103000663
16,0.8,final,B_qb_inj,13.36889703077981,13.536446649000355,821,13.452671839890083
